,,,Прайс на размещение рекламного ролика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Хронометраж (сек),Блок,Кол-во показов в сутки/1 экран (сек),Период/дней,Кол-во показов в ЖК/период,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
U39,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,А,12.2025,Стандарт,ЖК Полесье,"улица Валерия Лесунова, 10/1",54.782651,56.136540,2014,16,356,997,4,0,5,4,8,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,9,8570,1867,100%,,3279,4000,13115,16000
U40,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,А,12.2025,Стандарт,ЖК Полесье 2,"улица Валерия Лесунова, 6А",54.785226,56.136800,2015,18,79,221,2,0,1,2,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,19,4279,1870,100%,,3279,4000,6557,8000
U41,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,А,12.2025,Стандарт,ЖК Полесье 3,"улица Сельская Богородская, 35",54.787131,56.135048,2017,18,193,540,3,0,3,3,6,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,10,5227,2296,100%,,3279,4000,9836,12000
U42,Республика Башкортостан,Уфа,Советский,Центр,А,12.2025,Комфорт,ЖК Петропавловский,"улица Пархоменко, 123",54.739643,55.965375,2022,25,890,2 492,8,4,4,4,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,35,87037,368,100%,,3279,4000,26230,32000
U43,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 1,Б,12.2025,Стандарт,ЖК на Караидельской,"улица Караидельская, 60",54.716435,55.987482,2015,25,248,694,3,1,1,2,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,21,14925,804,100%,,3279,4000,9836,12000
U43,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 1,Б,12.2025,Стандарт,ЖК на Караидельской,"улица Караидельская, 62",54.716887,55.987383,2015,25,254,711,3,1,1,2,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,21,15286,785,100%,,3279,4000,9836,12000
U44,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,12.2025,Комфорт,ЖК Зорге парк,"улица Рихарда Зорге, 13/1",54.751663,55.984760,2023,26,407,1 140,3,0,1,3,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,28,31842,377,100%,,3279,4000,9836,12000
U44,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,12.2025,Комфорт,ЖК Зорге парк,"улица Рихарда Зорге, 17/8",54.753513,55.982613,2024,10,81,227,2,1,1,1,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,13,3047,2626,100%,,3279,4000,6557,8000
U44,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,12.2025,Комфорт,ЖК Зорге парк,"улица Рихарда Зорге, 15/3",54.752225,55.981931,2023,16,338,946,4,0,2,4,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,17,16273,983,100%,,3279,4000,13115,16000
U45,Республика Башкортостан,Уфа,Советский,Центр,Б,12.2025,Комфорт,ЖК на Революционной,"улица Революционная, 72",54.732615,55.969085,2012,20,126,353,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,2844,1407,100%,,3279,4000,3279,4000
U45,Республика Башкортостан,Уфа,Советский,Центр,Б,12.2025,Комфорт,ЖК на Революционной,"улица Революционная, 70",54.732693,55.968159,2011,20,132,370,3,1,1,2,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,30,10923,1099,100%,,3279,4000,9836,12000
U45,Республика Башкортостан,Уфа,Советский,Центр,Б,12.2025,Комфорт,ЖК на Революционной,"улица Ветошникова, 131",54.729897,55.971393,2004,10,122,342,2,0,2,2,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,11,3671,2179,100%,,3279,4000,6557,8000
U46,Республика Башкортостан,Уфа,Кировский,Дёмский_мкрн. Цветы Башкирии,Б,03.2026,Комфорт,ЖК Цветы Башкирии 1,"улица Даяна Мурзина, 5",54.670285,55.922929,2024,7,407,1 140,8,0,8,8,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,8,8573,3733,100%,,3279,4000,26230,32000
U47,Республика Башкортостан,Уфа,Кировский,Дёмский_мкрн. Цветы Башкирии,Б,03.2026,Комфорт,ЖК Цветы Башкирии 2,"улица Академика Курчатова, 114",54.671196,55.914377,2025,7,476,1 333,8,0,8,8,8,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,8,10026,3192,100%,,3279,4000,26230,32000
U48,Республика Башкортостан,Уфа,Кировский,Дёмский_мкрн. Цветы Башкирии,Б,12.2025,Комфорт,ЖК Цветы Башкирии 3,"улица Даяна Мурзина, 9",54.672627,55.920055,2021,7,395,1 106,6,0,6,6,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,107136,8,8320,2885,100%,,3279,4000,19672,24000
U49,Республика Башкортостан,Уфа,Орджоникидзевский,Проспект,Б,12.2025,Бизнес,ЖК Парус,"проспект Октября, 152к1",54.785117,56.035596,2010,23,160,448,3,0,1,3,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,25,11073,1084,100%,,3279,4000,9836,12000
U50,Республика Башкортостан,Уфа,Октябрьский ,Инорс_Сипайлово,Б,12.2025,Комфорт,ЖК на Академика Королева 35,"улица Академика Королёва, 35",54.772712,56.084356,2007,15,114,319,2,1,1,1,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,16,5146,1555,100%,,3279,4000,6557,8000
U50,Республика Башкортостан,Уфа,Октябрьский ,Инорс_Сипайлово,Б,12.2025,Комфорт,ЖК на Академика Королева 35,"улица Академика Королёва, 29/2",54.771570,56.081814,1993,12,48,134,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,13,1733,4616,100%,,3279,4000,6557,8000
U51,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 1,Б,01.2026,Комфорт,ЖК Грин Дом,"улица Бакалинская, 33/2",54.716653,55.982568,2019,20,81,227,4,0,1,4,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,43,9749,1641,100%,,3279,4000,13115,16000
U52,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,Б,02.2026,Комфорт,ЖК Нью-Йорт,"улица Орджоникидзе, 34",54.805603,56.130817,2025,16,193,540,4,0,2,4,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,17,9292,1722,100%,,3279,4000,13115,16000
U52,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,Б,02.2026,Комфорт,ЖК Нью-Йорт,"улица Орджоникидзе, 30",54.805116,56.128302,2022,16,220,616,3,0,3,3,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,17,10592,1133,100%,,3279,4000,9836,12000
U52,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,Б,02.2026,Комфорт,ЖК Нью-Йорт,"улица Орджоникидзе, 30/1",54.804830,56.129146,2018,16,258,722,3,0,3,3,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,17,12421,966,100%,,3279,4000,9836,12000
U53,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,02.2026,Комфорт,ЖК Новаленд 1,"проспект Дружбы Народов, 53",54.770245,55.902861,2021,24,479,1 341,10,0,8,10,12,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,178560,21,28827,1388,100%,,3279,4000,32787,40000
U54,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,03.2026,Комфорт,ЖК Новаленд 2,"проспект Дружбы Народов, 49",54.769638,55.906445,2025,25,270,756,3,0,1,3,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,27,20311,591,100%,,3279,4000,9836,12000
U54,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,03.2026,Комфорт,ЖК Новаленд 2,"проспект Дружбы Народов, 51/1",54.770235,55.904622,2025,25,269,753,3,0,1,3,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,27,20236,593,100%,,3279,4000,9836,12000
U54,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,03.2026,Комфорт,ЖК Новаленд 2,"проспект Дружбы Народов, 55",54.771409,55.901747,2022,25,269,753,3,0,1,3,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,27,20236,593,100%,,3279,4000,9836,12000
U55,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,05.2026,Комфорт,ЖК Новаленд 3,"проспект Дружбы Народов, 51",54.769965,55.905565,2025,25,270,756,3,0,1,3,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,27,20311,591,100%,,3279,4000,9836,12000
U56,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,07.2026,Комфорт,ЖК Новаленд 4,"улица Майора Доставалова, 9",54.767077,55.904244,2025,25,289,809,3,0,1,3,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,27,21741,552,100%,,3279,4000,9836,12000
U56,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,07.2026,Комфорт,ЖК Новаленд 4,"улица Майора Доставалова, 7",54.767643,55.90389,2024,25,289,809,3,0,1,3,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,27,21741,552,100%,,3279,4000,9836,12000
U56,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,07.2026,Комфорт,ЖК Новаленд 4,"улица Майора Доставалова, 3",54.769497,55.903660,2024,18,186,521,2,0,1,2,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,13,6716,1191,100%,,3279,4000,6557,8000
U56,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,07.2026,Комфорт,ЖК Новаленд 4,"улица Михаила Зайцева, 4",54.768916,55.906292,2024,17,186,521,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,18,9515,841,100%,,3279,4000,6557,8000
U57,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,А,03.2026,Комфорт,ЖК Белая река,"улица Бородинская, 9",54.682799,55.985326,2020,25,936,2 621,8,0,4,8,9,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,24,62589,511,100%,,3279,4000,26230,32000
U58,Республика Башкортостан,Уфа,Советский,Проспект,А,03.2026,Комфорт,ЖК Smart Plaza,"улица Заводская, 15/3",54.738323,55.994561,2021,27,456,1 277,2,2,2,0,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,10291,777,100%,,3279,4000,6557,8000
U59,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,03.2026,Комфорт,ЖК на Комсомольской,"улица Комсомольская, 139 ",54.760558,56.015132,2008,16,109,305,4,0,2,4,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,17,5248,3049,100%,,3279,4000,13115,16000
U60,Республика Башкортостан,Уфа,Кировский,Центр,Б,03.2026,Комфорт,ЖК Лайт,"улица Кирова, 130",54.725540,55.982586,2022,25,720,2 016,8,2,3,6,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,32,64996,492,100%,,3279,4000,26230,32000
U61,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,03.2026,Комфорт,ЖК На Исмагилова,"улица Загира Исмагилова, 21",54.698359,55.979595,2014,17,75,210,2,0,1,2,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,18,3837,2085,100%,,3279,4000,6557,8000
U62,Республика Башкортостан,Уфа,Ленинский,Центр,Б,03.2026,Комфорт,ЖК Красинский,"улица Красина, 19/1",54.734071,55.933062,2022,19,118,330,2,0,1,2,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,20,6746,1186,100%,,3279,4000,6557,8000
U62,Республика Башкортостан,Уфа,Ленинский,Центр,Б,03.2026,Комфорт,ЖК Красинский,"улица Гафури, 88/1",54.734944,55.933781,2024,20,139,389,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,21,8365,956,100%,,3279,4000,6557,8000
U63,Республика Башкортостан,Уфа,Кировский,Центр,Б,03.2026,Комфорт,ЖК Аксаковский Сад,"улица Октябрьской Революции, 48/1",54.718900,55.957694,2012,10,183,512,4,0,4,4,4,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,11,5507,2906,100%,,3279,4000,13115,16000
U63,Республика Башкортостан,Уфа,Кировский,Центр,Б,03.2026,Комфорт,ЖК Аксаковский Сад,"улица Новомостовая, 22",54.719747,55.956643,2014,10,104,291,3,0,3,3,3,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,11,3129,3835,100%,,3279,4000,9836,12000
U123,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,04.2026,Комфорт,ЖК Видный 1,"улица Российская, 47/1",54.776487,56.038731,2019,17,136,381,1,0,1,1,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,9,3478,1150,100%,,3279,4000,3279,4000
U124,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,04.2026,Комфорт,ЖК Видный 1,"улица Российская, 47/2",54.775818,56.039863,2021,17,269,753,3,0,3,3,6,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,9,6880,1744,100%,,3279,4000,9836,12000
U125,Республика Башкортостан,Уфа,Октябрьский,Инорс_Сипайлово,Б,04.2026,Комфорт,ЖК Видный 2,"улица Российская, 47/3",54.776487,56.040644,2020,17,439,1 229,8,0,8,8,16,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,9,11228,2850,100%,,3279,4000,26230,32000
U65,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,04.2026,Стандарт,ЖК квартал Колгуевский,"улица Файзи Гаскарова, 9",54.690038,55.997831,2011,17,80,224,2,0,1,2,2,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,18,4092,1955,100%,,3279,4000,6557,8000
U66,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,04.2026,Бизнес,ЖК The Prime,"проспект Октября, 75",54.768225,56.019786,2025,25,828,2 318,8,0,1,8,4,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,142848,54,124575,257,100%,,3279,4000,26230,32000
